image,pixel_agreement,miou_proxy
Component_40/Component_40_with_bg_3.png,0.9996,0.4998
Component_40/Component_40_with_bg_4.png,1.0000,1.0000
Component_40/Component_40_with_bg_5.png,0.9725,0.2431
Component_41/Component_41_with_bg_0.png,0.9998,0.8207
Component_41/Component_41_with_bg_3.png,0.9999,0.5000
Component_41/Component_41_with_bg_4.png,1.0000,1.0000
Component_41/Component_41_with_bg_5.png,0.9620,0.2408
Component_42/Component_42_with_bg_0.png,1.0000,0.9491
Component_42/Component_42_with_bg_3.png,0.9986,0.4993
Component_42/Component_42_with_bg_4.png,1.0000,1.0000
Component_42/Component_42_with_bg_5.png,0.9319,0.3108
Component_43/Component_43_with_bg_0.png,0.9999,0.8271
Component_43/Component_43_with_bg_3.png,0.9987,0.4994
Component_43/Component_43_with_bg_4.png,1.0000,1.0000
Component_43/Component_43_with_bg_5.png,0.9898,0.4949
Component_44/Component_44_with_bg_0.png,0.9998,0.7590
Component_44/Component_44_with_bg_3.png,0.9999,0.5000
Component_44/Component_44_with_bg_4.png,1.0000,1.0000
Component_44/Component_44_with_bg_5.png,0.9578,0.3194
Component_45/Component_45_with_bg_0.png,0.9997,0.7193
Component_45/Component_45_with_bg_3.png,1.0000,1.0000
Component_45/Component_45_with_bg_4.png,1.0000,1.0000
Component_45/Component_45_with_bg_5.png,0.9663,0.3221
Component_46/Component_46_with_bg_0.png,0.9923,0.5128
Component_46/Component_46_with_bg_3.png,0.9999,0.4999
Component_46/Component_46_with_bg_4.png,1.0000,1.0000
Component_46/Component_46_with_bg_5.png,0.9523,0.3174
Component_47/Component_47_with_bg_0.png,0.9976,0.5636
Component_47/Component_47_with_bg_3.png,0.9993,0.4996
Component_47/Component_47_with_bg_4.png,0.9263,0.4631
Component_47/Component_47_with_bg_5.png,0.9653,0.3218
Component_48/Component_48_with_bg_0.png,0.9954,0.5247
Component_48/Component_48_with_bg_3.png,1.0000,1.0000
Component_48/Component_48_with_bg_4.png,0.9658,0.4829
Component_48/Component_48_with_bg_5.png,0.9884,0.4942
Component_49/Component_49_with_bg_0.png,0.9941,0.5158
Component_49/Component_49_with_bg_3.png,0.9997,0.4998
Component_49/Component_49_with_bg_4.png,0.8949,0.4474
Component_49/Component_49_with_bg_5.png,0.9628,0.3209
Component_5/Component_5_with_bg_0.png,1.0000,1.0000
Component_5/Component_5_with_bg_1.png,1.0000,1.0000
Component_5/Component_5_with_bg_3.png,1.0000,1.0000
Component_5/Component_5_with_bg_4.png,1.0000,1.0000
Component_5/Component_5_with_bg_5.png,0.9991,0.4996
Component_50/Component_50_with_bg_0.png,0.9959,0.5357
Component_50/Component_50_with_bg_3.png,0.9992,0.6253
Component_50/Component_50_with_bg_4.png,0.9908,0.4954
Component_50/Component_50_with_bg_5.png,0.9738,0.3246
